match_id,team,opponent,minute,result,xG,player,h_a,h_goals,a_goals,shotType,situation,current_home_goals,current_away_goals,home_game_state,away_game_state
28779,Newcastle United,Aston Villa,90,SavedShot,0.0105462726205587,Anthony Gordon,a,0,0,RightFoot,OpenPlay,0,0,0,0
28779,Newcastle United,Aston Villa,93,BlockedShot,0.0402633287012577,William Osula,a,0,0,LeftFoot,OpenPlay,0,0,0,0
28779,Newcastle United,Aston Villa,96,MissedShots,0.005802980158478,Fabian Schär,a,0,0,RightFoot,OpenPlay,0,0,0,0
28780,Brighton,Fulham,13,MissedShots,0.0192680601030588,Carlos Baleba,h,1,1,RightFoot,OpenPlay,0,0,0,0
28780,Brighton,Fulham,25,SavedShot,0.0222328007221221,Georginio Rutter,h,1,1,RightFoot,OpenPlay,0,0,0,0
28780,Brighton,Fulham,27,MissedShots,0.080752782523632,Kaoru Mitoma,h,1,1,Head,OpenPlay,0,0,0,0
28780,Brighton,Fulham,37,BlockedShot,0.033206358551979,Georginio Rutter,h,1,1,LeftFoot,OpenPlay,0,0,0,0
28780,Brighton,Fulham,42,SavedShot,0.0130083784461021,Mats Wieffer,h,1,1,Head,SetPiece,0,0,0,0
28780,Brighton,Fulham,54,Goal,0.7611688375473022,Matt O&#039;Riley,h,1,1,LeftFoot,Penalty,0,0,0,0
28780,Brighton,Fulham,64,MissedShots,0.1413981318473816,Yankuba Minteh,h,1,1,LeftFoot,OpenPlay,1,0,1,-1
28780,Brighton,Fulham,75,SavedShot,0.0246505476534366,Diego Gómez,h,1,1,RightFoot,OpenPlay,1,0,1,-1
28780,Brighton,Fulham,86,MissedShots,0.030780566856265,Lewis Dunk,h,1,1,Head,FromCorner,1,0,1,-1
28780,Brighton,Fulham,88,MissedShots,0.3136118948459625,Brajan Gruda,h,1,1,RightFoot,OpenPlay,1,0,1,-1
28780,Fulham,Brighton,1,MissedShots,0.0947110280394554,Raúl Jiménez,a,1,1,LeftFoot,OpenPlay,0,0,0,0
28780,Fulham,Brighton,42,MissedShots,0.0419377200305461,Harry Wilson,a,1,1,Head,OpenPlay,0,0,0,0
28780,Fulham,Brighton,47,SavedShot,0.0918510630726814,Joshua King,a,1,1,LeftFoot,OpenPlay,0,0,0,0
28780,Fulham,Brighton,47,MissedShots,0.1502836644649505,Raúl Jiménez,a,1,1,RightFoot,OpenPlay,0,0,0,0
28780,Fulham,Brighton,57,MissedShots,0.0140686137601733,Alex Iwobi,a,1,1,RightFoot,OpenPlay,1,0,1,-1
28780,Fulham,Brighton,95,BlockedShot,0.0384686477482318,Emile Smith-Rowe,a,1,1,RightFoot,OpenPlay,1,0,1,-1
28780,Fulham,Brighton,96,Goal,0.4853662252426147,Rodrigo Muniz,a,1,1,LeftFoot,FromCorner,1,0,1,-1
28781,Sunderland,West Ham,5,SavedShot,0.3046077191829681,Habib Diarra,h,3,0,RightFoot,OpenPlay,0,0,0,0
28781,Sunderland,West Ham,6,MissedShots,0.0248957443982362,Dan Ballard,h,3,0,Head,FromCorner,0,0,0,0
28781,Sunderland,West Ham,43,BlockedShot,0.0900169536471366,Eliezer Mayenda,h,3,0,RightFoot,FromCorner,0,0,0,0
28781,Sunderland,West Ham,43,SavedShot,0.0381928235292434,Dan Ballard,h,3,0,Head,FromCorner,0,0,0,0
28781,Sunderland,West Ham,47,MissedShots,0.0756939277052879,Simon Adingra,h,3,0,RightFoot,OpenPlay,0,0,0,0
28781,Sunderland,West Ham,57,MissedShots,0.0166919473558664,Dan Ballard,h,3,0,Head,FromCorner,0,0,0,0
28781,Sunderland,West Ham,59,MissedShots,0.0169274266809225,Habib Diarra,h,3,0,LeftFoot,OpenPlay,0,0,0,0
28781,Sunderland,West Ham,60,Goal,0.0366796031594276,Eliezer Mayenda,h,3,0,Head,OpenPlay,0,0,0,0
28781,Sunderland,West Ham,72,Goal,0.0281399451196193,Dan Ballard,h,3,0,Head,FromCorner,1,0,1,-1
28781,Sunderland,West Ham,91,Goal,0.0925216823816299,Wilson Isidor,h,3,0,RightFoot,OpenPlay,2,0,2,-2
28781,West Ham,Sunderland,2,SavedShot,0.0658746063709259,Jarrod Bowen,a,3,0,RightFoot,OpenPlay,0,0,0,0
28781,West Ham,Sunderland,3,MissedShots,0.0144348395988345,El Hadji Malick Diouf,a,3,0,LeftFoot,FromCorner,0,0,0,0
28781,West Ham,Sunderland,25,BlockedShot,0.0907265841960907,El Hadji Malick Diouf,a,3,0,LeftFoot,OpenPlay,0,0,0,0
28781,West Ham,Sunderland,26,BlockedShot,0.1013018190860748,Niclas Füllkrug,a,3,0,RightFoot,OpenPlay,0,0,0,0
28781,West Ham,Sunderland,28,BlockedShot,0.0413616076111793,Jarrod Bowen,a,3,0,LeftFoot,OpenPlay,0,0,0,0
28781,West Ham,Sunderland,41,BlockedShot,0.0242491047829389,Guido Rodríguez,a,3,0,RightFoot,OpenPlay,0,0,0,0
28781,West Ham,Sunderland,77,BlockedShot,0.0167413800954818,El Hadji Malick Diouf,a,3,0,LeftFoot,FromCorner,2,0,2,-2
28781,West Ham,Sunderland,84,BlockedShot,0.0570625588297843,Jarrod Bowen,a,3,0,Head,FromCorner,2,0,2,-2
28781,West Ham,Sunderland,84,SavedShot,0.0489497706294059,Tomas Soucek,a,3,0,LeftFoot,OpenPlay,2,0,2,-2
28781,West Ham,Sunderland,86,MissedShots,0.0243003964424133,Callum Wilson,a,3,0,Head,SetPiece,2,0,2,-2
28781,West Ham,Sunderland,89,SavedShot,0.0410665571689605,Niclas Füllkrug,a,3,0,Head,OpenPlay,2,0,2,-2
