match_id,home_team,away_team,home_xg_for_last_10,home_xg_against_last_10,away_xg_for_last_10,away_xg_against_last_10,home_shot_npxg_for_last_10,away_shot_npxg_for_last_10,home_shot_big_chances_for_last_10,away_shot_big_chances_for_last_10,home_ppda_for_last_10,away_ppda_for_last_10,home_finishing_over_xg_last_10,away_finishing_over_xg_last_10,home_attack_vs_away_defense_xg_last_10,away_attack_vs_home_defense_xg_last_10,xg_net_diff_last_10,shot_npxg_diff_last_10,big_chances_diff_last_10,pressing_diff_last_10,finishing_diff_last_10,h_goals,a_goals
28805,Brighton,Manchester City,1.44008,0.902883,2.29903,0.519436,0.6789095215499397,2.30592031404376,2.0,2.0,8.9286,11.8,-0.44008,1.7009699999999999,0.920644,1.396147,-1.242397,-1.6270107924938202,0.0,2.8714000000000013,-2.14105,2,1
28806,Liverpool,Arsenal,2.33007,1.57303,1.3304,1.37653,2.3300733715295783,1.3303993921726938,2.0,1.0,8.7647,11.2609,1.66993,-0.3304,0.95354,-0.2426299999999999,0.8031700000000002,0.9996739793568845,1.0,2.4962,2.00033,1,0
28807,Aston Villa,Crystal Palace,0.318601,1.40098,1.03414,1.36793,0.3186008632183074,1.0375595069490369,0.0,1.0,18.9167,17.6316,-0.318601,-1.03414,-1.0493290000000002,-0.36683999999999983,-0.748589,-0.7189586437307295,-1.0,-1.2851,0.715539,0,3
28808,Arsenal,Nottingham Forest,2.73761,0.156761,1.32987,1.10188,2.0058819539844985,1.3298739567399023,2.0,2.0,7.9545,10.3684,2.26239,-0.3298700000000001,1.6357300000000001,1.1731090000000002,2.352859,0.6760079972445963,0.0,2.413899999999999,2.59226,3,0
28809,Newcastle United,Wolverhampton Wanderers,1.96342,0.646559,0.373367,1.78462,1.9634245662018652,0.37336701992899146,4.0,0.0,12.0455,10.4286,0.03658000000000006,-0.373367,0.17879999999999985,-0.273192,2.7281139999999997,1.5900575462728739,4.0,-1.6169000000000011,0.40994700000000006,1,0
28810,Bournemouth,Brighton,1.78462,0.373367,2.08487,1.80116,1.7846234329044812,1.3237021621316665,2.0,3.0,5.88,8.6842,-0.7846200000000001,-2.08487,-0.01654,1.711503,1.1275430000000002,0.46092127077281475,-1.0,2.8042000000000007,1.30025,2,1
28811,Crystal Palace,Sunderland,1.10188,1.32987,1.12127,1.00381,1.1018764190375803,1.121270345523953,1.0,2.0,12.7826,20.5833,-0.10187999999999997,-1.12127,0.09806999999999988,-0.20860000000000012,-0.34545000000000003,-0.019393926486372726,-1.0,7.800700000000001,1.01939,0,0
28812,Everton,Aston Villa,1.80116,2.08487,0.976852,1.12964,1.8180652074515815,0.9803101420402519,2.0,0.0,17.7059,5.4118,0.1988399999999999,-0.976852,0.6715200000000001,-1.108018,-0.13092199999999998,0.8377550654113296,2.0,-12.2941,1.175692,0,0
28813,Fulham,Leeds,1.65333,1.54603,0.156761,2.73761,1.662839948199689,0.156760811805725,2.0,0.0,9.9091,27.8667,-0.65333,-0.156761,-1.0842800000000001,-1.389269,2.688149,1.5060791363939638,2.0,17.9576,-0.4965689999999999,1,0
28814,West Ham,Tottenham,0.978572,3.94997,1.28015,1.2475,0.9785720165818925,1.2829762157052749,1.0,2.0,26.3077,13.2727,0.021428000000000003,0.7198500000000001,-0.26892800000000006,-2.66982,-3.0040479999999996,-0.30440419912338235,-1.0,-13.035,-0.6984220000000001,0,3
28815,Brentford,Chelsea,1.12964,0.976852,3.94997,0.978572,1.3765398059040306,3.9758191313594575,2.0,7.0,10.7857,11.9474,-0.12963999999999998,1.05003,0.15106799999999998,2.973118,-2.8186099999999996,-2.599279325455427,-5.0,1.1616999999999997,-1.17967,2,2
28816,Burnley,Liverpool,1.00381,1.12127,0.646559,1.96342,1.0038139838725326,0.6465590894222258,1.0,1.0,15.4286,7.5714,0.9961899999999999,2.353441,-0.9596099999999999,-0.474711,1.199401,0.3572548944503068,0.0,-7.8572,-1.3572510000000002,0,1
28817,Manchester City,Manchester United,1.2475,1.28015,1.54603,1.65333,1.2474997155368324,0.7848580721765753,2.0,1.0,10.4444,10.8889,-1.2475,-0.54603,-0.4058299999999999,0.2658800000000001,0.0746500000000001,0.46264164336025704,1.0,0.4444999999999997,-0.70147,3,0
28818,Liverpool,Everton,1.405737,1.0293545,1.356124,1.6622285,1.4057384850457304,1.3635979196988042,1.0,2.0,11.915700000000001,19.73075,1.094263,0.14387599999999995,-0.2564915000000001,0.32676950000000016,0.6824870000000001,0.04214056534692623,-1.0,7.815049999999999,0.9503870000000001,2,1
28819,West Ham,Crystal Palace,0.88591,2.731995,1.8156349999999999,1.286895,0.8859098395332691,1.4367590404581276,1.0,2.5,21.931649999999998,18.415799999999997,-0.38591,-0.315635,-0.4009849999999999,-0.9163600000000001,-2.374825,-0.5508492009248586,-1.5,-3.5158500000000004,-0.07027499999999998,1,2
28820,Wolverhampton Wanderers,Leeds,0.7313465,2.16847,0.4935795,1.9387,0.7326834257692094,0.49357917718589284,0.5,0.5,8.97765,20.65555,0.2686535,-0.4935795,-1.2073535,-1.6748905,0.007997000000000032,0.23910424858331658,0.0,11.677900000000001,0.7622329999999999,1,3
28821,Brighton,Tottenham,1.82436,1.5185315000000001,1.397085,1.020374,1.0631908653303976,1.3984965942800038,2.5,1.5,10.3717,12.064900000000002,-0.32436,1.102915,0.8039860000000001,-0.12144650000000023,-0.07088250000000001,-0.3353057289496062,1.0,1.693200000000001,-1.427275,2,2
28822,Burnley,Nottingham Forest,0.5859255000000001,1.958095,0.8117755000000001,1.99179,0.5859275907278059,0.8117775749415157,0.5,1.0,13.25975,12.4592,0.41407449999999996,-0.3117755000000001,-1.4058644999999999,-1.1463194999999997,-0.19215499999999985,-0.22584998421370983,-0.5,-0.8005500000000012,0.7258500000000001,1,1
